,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Manchester City,69052,21147,7161,1914,509,165,38,12,2,0,0,0,0,0,0,0,0,0,0,0
Arsenal,18803,38260,24001,10721,4803,1997,874,361,132,31,14,1,1,1,0,0,0,0,0,0
Manchester Utd,205,1621,5344,11744,17275,18662,16446,12498,8287,4436,2136,847,290,133,42,27,4,3,0,0
Newcastle Utd,9457,25416,30804,17300,8840,4441,2165,947,403,170,48,7,1,1,0,0,0,0,0,0
Liverpool,1737,8380,17287,25155,18802,12645,7741,4415,2308,986,364,138,27,11,2,1,1,0,0,0
Brighton,568,3456,8949,16228,19314,16798,12993,9435,6100,3475,1525,665,295,119,52,19,6,3,0,0
Aston Villa,17,135,734,2218,4655,7835,11514,14938,17245,15662,10647,6382,3814,2014,1082,603,301,142,47,15
Tottenham,56,546,1986,5034,8843,12478,15325,16311,14302,10999,6571,3650,1912,1027,504,263,120,53,15,5
Brentford,96,885,3026,7406,11930,15447,16836,15621,12155,8130,4481,2138,1007,491,208,80,48,11,3,1
Fulham,9,146,636,1959,4061,6878,10219,13497,16273,16255,11884,7621,4606,2696,1543,872,430,256,110,49
Crystal Palace,0,3,31,129,397,982,2031,3873,7032,10763,14698,15027,12953,10195,7433,5624,3895,2658,1587,689
Chelsea,0,2,31,131,351,938,2016,3884,6701,10678,14841,15228,13027,10392,7607,5555,3803,2594,1509,712
Wolves,0,0,0,0,2,15,40,129,391,1029,2261,4046,6358,8455,10801,12503,13833,14133,14197,11807
West Ham,0,2,9,52,152,499,1181,2501,4767,8277,12296,14471,14094,12037,9576,7170,5433,3925,2356,1202
Bournemouth,0,0,0,0,1,3,21,55,222,550,1321,2505,4210,6077,8192,10338,12703,14990,18170,20642
Nott'ham Forest,0,0,0,0,1,15,42,172,516,1224,2914,5135,7569,10198,11920,13139,13309,13207,11785,8854
Everton,0,1,0,1,9,50,92,292,684,1660,3362,5560,7843,9662,11491,12407,12775,12584,11842,9685
Burnley,0,0,1,8,39,125,316,736,1671,3661,6511,9433,11643,12565,12395,11206,9972,8593,6729,4396
Sheffield Utd,0,0,0,0,16,25,103,298,745,1787,3509,5803,8042,10135,11543,12475,12740,12381,11279,9119
Luton Town,0,0,0,0,0,2,7,25,64,227,617,1343,2308,3791,5609,7718,10627,14467,20371,32824
