Manchester City | 1.8857011905671295 - 1.3995883563657747 | Arsenal
Manchester City | 3.4571188493730713 - 0.8797412525727729 | Manchester Utd
Manchester City | 1.9904623678208588 - 1.2796236401058512 | Newcastle Utd
Manchester City | 3.1428353176118824 - 1.1596589238459278 | Liverpool
Manchester City | 3.3523576721193407 - 1.3995883563657747 | Brighton
Manchester City | 2.619029431343236 - 0.7197882975595413 | Aston Villa
Manchester City | 3.9809247356417177 - 1.3196118788591593 | Tottenham
Manchester City | 2.9333129631044232 - 0.9197294913260806 | Brentford
Manchester City | 2.5142682540895063 - 0.9597177300793883 | Fulham
Manchester City | 2.723790608596965 - 0.7597765363128492 | Crystal Palace
Manchester City | 2.9333129631044232 - 0.7197882975595413 | Chelsea
Manchester City | 3.9809247356417177 - 0.47985886503969416 | Wolves
Manchester City | 3.2475964948656117 - 0.6398118200529256 | West Ham
Manchester City | 4.504730621910364 - 0.6798000588062335 | Bournemouth
Manchester City | 4.609491799164094 - 0.43987062628638646 | Nott'ham Forest
Manchester City | 3.1428353176118824 - 0.7197882975595413 | Everton
Manchester City | 3.4876741927387416 - 0.5836118130667451 | Luton Town
Manchester City | 3.4876741927387416 - 0.7001397273507792 | Burnley
Manchester City | 3.4876741927387416 - 0.5836118130667451 | Sheffield Utd
Arsenal | 1.4806246385193755 - 1.9994119376653927 | Manchester City
Arsenal | 3.0537883169462128 - 1.2937371361364307 | Manchester Utd
Arsenal | 1.7582417582417587 - 1.8817994707438992 | Newcastle Utd
Arsenal | 2.7761711972238294 - 1.7053807703616588 | Liverpool
Arsenal | 2.961249277038751 - 2.0582181711261396 | Brighton
Arsenal | 2.313475997686525 - 1.0585122022934432 | Aston Villa
Arsenal | 3.5164835164835173 - 1.940605704204646 | Tottenham
Arsenal | 2.5910931174089074 - 1.3525433695971774 | Brentford
Arsenal | 2.2209369577790636 - 1.4113496030579242 | Fulham
Arsenal | 2.4060150375939857 - 1.11731843575419 | Crystal Palace
Arsenal | 2.5910931174089074 - 1.0585122022934432 | Chelsea
Arsenal | 3.5164835164835173 - 0.7056748015289621 | Wolves
Arsenal | 2.8687102371312903 - 0.9408997353719496 | West Ham
Arsenal | 3.979178716020822 - 0.9997059688326964 | Bournemouth
Arsenal | 4.071717755928283 - 0.6468685680682154 | Nott'ham Forest
Arsenal | 2.7761711972238294 - 1.0585122022934432 | Everton
Arsenal | 3.080778870252555 - 0.8582526662746253 | Luton Town
Arsenal | 3.080778870252555 - 1.0296172461040871 | Burnley
Arsenal | 3.080778870252555 - 0.8582526662746253 | Sheffield Utd
Manchester Utd | 1.0057073016358022 - 0.799764775066157 | Manchester City
Manchester Utd | 1.1314207143402775 - 0.8232872684504556 | Arsenal
Manchester Utd | 1.1942774206925153 - 0.7527197882975595 | Newcastle Utd
Manchester Utd | 1.885701190567129 - 0.6821523081446633 | Liverpool
Manchester Utd | 2.0114146032716045 - 0.8232872684504556 | Brighton
Manchester Utd | 1.5714176588059412 - 0.42340488091737716 | Aston Villa
Manchester Utd | 2.3885548413850306 - 0.7762422816818583 | Tottenham
Manchester Utd | 1.7599877778626538 - 0.5410173478388709 | Brentford
Manchester Utd | 1.5085609524537034 - 0.5645398412231696 | Fulham
Manchester Utd | 1.6342743651581788 - 0.44692737430167595 | Crystal Palace
Manchester Utd | 1.7599877778626538 - 0.42340488091737716 | Chelsea
Manchester Utd | 2.3885548413850306 - 0.2822699206115848 | Wolves
Manchester Utd | 1.9485578969193669 - 0.37635989414877974 | West Ham
Manchester Utd | 2.7028383731462187 - 0.3998823875330785 | Bournemouth
Manchester Utd | 2.7656950794984563 - 0.2587474272272861 | Nott'ham Forest
Manchester Utd | 1.885701190567129 - 0.42340488091737716 | Everton
Manchester Utd | 2.092604515643245 - 0.34330106650985 | Luton Town
Manchester Utd | 2.092604515643245 - 0.41184689844163475 | Burnley
Manchester Utd | 2.092604515643245 - 0.34330106650985 | Sheffield Utd
Newcastle Utd | 1.0057073016358022 - 1.11967068509262 | Manchester City
Newcastle Utd | 1.1314207143402775 - 1.152602175830638 | Arsenal
Newcastle Utd | 2.0742713096238425 - 0.7244927962364011 | Manchester Utd
Newcastle Utd | 1.885701190567129 - 0.9550132314025287 | Liverpool
Newcastle Utd | 2.0114146032716045 - 1.152602175830638 | Brighton
Newcastle Utd | 1.5714176588059412 - 0.5927668332843282 | Aston Villa
Newcastle Utd | 2.3885548413850306 - 1.0867391943546016 | Tottenham
Newcastle Utd | 1.7599877778626538 - 0.7574242869744192 | Brentford
Newcastle Utd | 1.5085609524537034 - 0.7903557777124374 | Fulham
Newcastle Utd | 1.6342743651581788 - 0.6256983240223464 | Crystal Palace
Newcastle Utd | 1.7599877778626538 - 0.5927668332843282 | Chelsea
Newcastle Utd | 2.3885548413850306 - 0.3951778888562187 | Wolves
Newcastle Utd | 1.9485578969193669 - 0.5269038518082917 | West Ham
Newcastle Utd | 2.7028383731462187 - 0.55983534254631 | Bournemouth
Newcastle Utd | 2.7656950794984563 - 0.36224639811820053 | Nott'ham Forest
Newcastle Utd | 1.885701190567129 - 0.5927668332843282 | Everton
